text,author
"The only way to do great work is to love what you do.",Steve Jobs
"Talk is cheap. Show me the code.",Linus Torvalds
"Simplicity is prerequisite for reliability.",Edsger Dijkstra
"Premature optimization is the root of all evil.",Donald Knuth
"Programs must be written for people to read, and only incidentally for machines to execute.",Harold Abelson
"Any fool can write code that a computer can understand. Good programmers write code that humans can understand.",Martin Fowler
"First, solve the problem. Then, write the code.",John Johnson
"Make it work, make it right, make it fast.",Kent Beck
"Controlling complexity is the essence of computer programming.",Brian Kernighan
"The most damaging phrase in the language is: we've always done it this way.",Grace Hopper
"Walking on water and developing software from a specification are easy if both are frozen.",Edward Berard
"Code is like humor. When you have to explain it, it is bad.",Cory House
"Before software can be reusable it first has to be usable.",Ralph Johnson
"Experience is the name everyone gives to their mistakes.",Oscar Wilde
"The function of good software is to make the complex appear simple.",Grady Booch
